optimizer,lr,lr_decay,final_train_acc,final_val_acc,final_train_loss,final_val_loss
SGD,0.1,0.9,0.225,0.22083333333333333,25.02962362766266,11.115687489509583
SGD,0.1,0.7,0.3982142857142857,0.3,22.470052659511566,10.533024430274963
SGD,0.1,0.5,0.24821428571428572,0.25416666666666665,,
SGD,0.05,0.9,0.5410714285714285,0.5208333333333334,20.162863731384277,8.23990261554718
SGD,0.05,0.7,0.7303571428571428,0.6916666666666667,13.827422887086868,6.973514795303345
SGD,0.05,0.5,0.7339285714285714,0.8166666666666667,12.648475617170334,5.706052660942078
SGD,0.01,0.9,0.8696428571428572,0.85,6.39942578971386,3.1245874166488647
SGD,0.01,0.7,0.8875,0.8208333333333333,5.736292332410812,5.708732083439827
SGD,0.01,0.5,0.8839285714285714,0.8416666666666667,5.797359421849251,4.056714549660683
SGD,0.001,0.9,0.6625,0.675,15.767063081264496,7.304823815822601
SGD,0.001,0.7,0.6642857142857143,0.6625,15.09479933977127,7.1274333000183105
SGD,0.001,0.5,0.4446428571428571,0.38333333333333336,22.594810962677002,10.066569209098816
SGD,0.0001,0.9,0.3821428571428571,0.3416666666666667,24.627326130867004,10.966281771659851
SGD,0.0001,0.7,0.28214285714285714,0.22083333333333333,24.762441158294678,11.029285311698914
SGD,0.0001,0.5,0.3196428571428571,0.29583333333333334,24.763928174972534,11.019887447357178
Adam,0.01,0.9,0.2625,0.22083333333333333,24.955488562583923,11.1102694272995
Adam,0.01,0.7,0.2625,0.22083333333333333,24.955117106437683,11.10988712310791
Adam,0.01,0.5,0.8696428571428572,0.7833333333333333,6.231741987168789,5.15012913942337
Adam,0.005,0.9,0.2625,0.22083333333333333,24.951858639717102,11.109722971916199
Adam,0.005,0.7,0.7946428571428571,0.6916666666666667,10.422606319189072,7.095740377902985
Adam,0.005,0.5,0.9232142857142858,0.8333333333333334,5.083304800093174,4.243770971894264
Adam,0.001,0.9,0.9107142857142857,0.8541666666666666,4.097805984318256,3.768701136112213
Adam,0.001,0.7,0.9285714285714286,0.8583333333333333,4.1307418420910835,3.8704752027988434
Adam,0.001,0.5,0.925,0.8291666666666667,3.8542364463210106,4.0665967762470245
Adam,0.0005,0.9,0.9196428571428571,0.85,4.201208882033825,4.683165550231934
Adam,0.0005,0.7,0.9142857142857143,0.8458333333333333,4.811401128768921,3.6899276971817017
Adam,0.0005,0.5,0.9142857142857143,0.8833333333333333,4.485103107988834,3.6458840519189835
Adam,0.0001,0.9,0.8232142857142857,0.8416666666666667,7.922171771526337,4.480468243360519
Adam,0.0001,0.7,0.8,0.8,9.563066720962524,4.903349995613098
Adam,0.0001,0.5,0.7785714285714286,0.7958333333333333,10.740888208150864,5.268084108829498
AdamW,0.01,0.9,0.6482142857142857,0.6708333333333333,14.238882899284363,7.097374320030212
AdamW,0.01,0.7,0.5625,0.575,16.428325831890106,7.925450265407562
AdamW,0.01,0.5,0.2625,0.22083333333333333,24.94227957725525,11.105543494224548
AdamW,0.005,0.9,0.8607142857142858,0.8208333333333333,7.130744442343712,4.6268410384655
AdamW,0.005,0.7,0.875,0.7916666666666666,5.732091128826141,4.854630678892136
AdamW,0.005,0.5,0.7553571428571428,0.7458333333333333,11.133229792118073,5.003805220127106
AdamW,0.001,0.9,0.9517857142857142,0.8833333333333333,3.2056050784885883,3.414025127887726
AdamW,0.001,0.7,0.9392857142857143,0.875,3.3097113631665707,4.001984864473343
AdamW,0.001,0.5,0.9357142857142857,0.8625,3.227167919278145,4.401757776737213
AdamW,0.0005,0.9,0.9178571428571428,0.8458333333333333,3.4598762914538383,4.194475010037422
AdamW,0.0005,0.7,0.9,0.85,5.269933894276619,3.855493873357773
AdamW,0.0005,0.5,0.9214285714285714,0.8458333333333333,4.684202551841736,3.647210016846657
AdamW,0.0001,0.9,0.8035714285714286,0.7666666666666667,9.481440275907516,5.094513475894928
AdamW,0.0001,0.7,0.8125,0.8,9.253935664892197,4.618204265832901
AdamW,0.0001,0.5,0.7785714285714286,0.7958333333333333,10.737252444028854,5.311929285526276
